,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,beira,20,MZ,1666665201,88,-19.8436,34.8389,77.09,2.3
310,verkhnyaya inta,100,RU,1666665201,90,60.9844,40.2072,30.25,4.03
311,shamary,88,RU,1666665201,82,57.3434,58.2199,29.39,7.58
312,merauke,28,ID,1666665202,66,-8.4667,140.3333,85.68,10.0
313,izhma,86,RU,1666665202,95,65.0083,53.9113,25.16,6.8
314,kangavar,68,IR,1666665202,42,34.5043,47.9653,54.05,1.63
315,kamaishi,98,JP,1666665203,73,39.2667,141.8833,53.19,15.84
316,guerrero negro,78,MX,1666665203,96,17.6667,-100.0,67.78,3.96
317,drumheller,100,CA,1666665061,75,51.4617,-112.7101,38.53,2.3
318,torrington,100,US,1666665203,97,41.8007,-73.1212,58.84,1.01
319,mitu,67,CO,1666665204,99,1.1983,-70.1733,70.27,1.39
320,oranjemund,100,NA,1666665204,88,-28.55,16.4333,59.47,12.64
321,lebowakgomo,3,ZA,1666665204,61,-24.2,29.5,63.5,4.18
322,barcs,99,HU,1666665205,90,45.96,17.4586,56.62,1.23
323,hearst,100,CA,1666665205,73,49.6835,-83.6665,64.65,14.14
324,reftinskiy,100,RU,1666665205,89,57.0901,61.6769,36.18,10.42
325,verkhoyansk,100,RU,1666665206,65,67.5447,133.385,25.11,23.91
326,aykhal,61,RU,1666665206,93,66.0,111.5,15.15,20.56
327,gamba,100,GA,1666665206,94,-2.65,10.0,72.79,5.61
328,katherine,40,AU,1666665206,49,-14.4667,132.2667,93.52,9.22
329,lexington,0,US,1666664990,44,37.9887,-84.4777,66.2,8.05
330,fukuma,97,JP,1666665207,57,33.7667,130.4667,64.29,17.49
331,leningradskiy,42,RU,1666665207,92,69.3833,178.4167,7.12,4.5
332,krasnoselkup,100,RU,1666665208,96,65.7,82.4667,30.49,8.68
333,cururupu,32,BR,1666665208,84,-1.8283,-44.8683,76.26,4.81
334,pokhara,0,NP,1666665208,48,28.2333,83.9833,67.33,2.57
335,mehamn,75,NO,1666665209,87,71.0357,27.8492,35.55,11.5
336,belmonte,100,BR,1666665209,95,-15.8631,-38.8828,72.54,8.19
337,sumbe,66,AO,1666665209,88,-11.2061,13.8437,75.15,6.04
338,hameenlinna,35,FI,1666665209,83,60.996,24.4643,30.61,5.75
339,homer,0,US,1666665210,61,59.6425,-151.5483,40.89,5.75
340,rawson,79,AR,1666665057,41,-43.3002,-65.1023,63.48,2.71
341,takoradi,97,GH,1666665202,88,4.8845,-1.7554,77.07,4.14
342,pokrovskoye,99,RU,1666665210,82,47.4157,38.8971,47.37,3.02
343,natitingou,89,BJ,1666665211,60,10.3042,1.3796,72.7,2.19
344,chuy,1,UY,1666665211,94,-33.6971,-53.4616,54.97,5.61
345,severnyy,75,RU,1666665211,93,50.677,36.5532,44.64,6.71
346,nakusp,100,CA,1666665212,93,50.2499,-117.8023,40.48,4.61
347,sobolevo,99,RU,1666665212,86,54.4299,31.8996,40.98,6.02
348,rocha,3,UY,1666664966,96,-34.4833,-54.3333,52.5,6.17
349,namatanai,62,PG,1666665212,69,-3.6667,152.4333,85.14,5.59
350,uvira,66,CD,1666665213,62,-3.4067,29.1458,75.4,3.53
351,tias,0,ES,1666665213,88,28.9611,-13.645,67.68,5.75
352,nyagan,100,RU,1666664923,98,62.1406,65.3936,33.46,6.13
353,iralaya,38,HN,1666665213,80,15.0,-83.2333,80.74,7.45
354,edson,100,CA,1666665007,87,53.5835,-116.4356,37.54,2.3
355,poum,100,NC,1666665214,76,-20.2333,164.0167,78.24,21.94
